timestamp,lix
2021-09-29,
2021-09-28,17.446435827150964
2021-09-27,16.34359094210512
2021-09-24,16.555429298954227
2021-09-23,16.831252995948258
2021-09-22,17.057647918578894
2021-09-21,16.578673670254542
2021-09-20,17.217580382341836
2021-09-17,16.800296816433985
2021-09-16,18.378741437218213
2021-09-15,16.795840871308215
2021-09-14,17.02624760937191
2021-09-13,17.09038190805043
2021-09-10,16.982162874400668
2021-09-09,16.922704697276462
2021-09-08,17.14323812569454
2021-09-07,17.08298473858517
2021-09-03,16.880791955675416
2021-09-02,16.822791427546942
2021-09-01,16.694055415742437
2021-08-31,17.0723729404983
2021-08-30,16.827183693606674
2021-08-27,16.30793377326356
2021-08-26,16.64780769583805
2021-08-25,16.86922286190555
2021-08-24,16.52659334378402
2021-08-23,16.713954485718805
2021-08-20,16.42882265103333
2021-08-19,17.186967564560955
2021-08-18,17.026651396291037
2021-08-17,16.78468953306574
2021-08-16,16.595766672852278
2021-08-13,16.5112794096029
2021-08-12,16.78958486432368
2021-08-11,16.742892217289295
2021-08-10,16.257924910728722
2021-08-09,16.34151287607044
2021-08-06,16.526380175332324
2021-08-05,16.437852258968263
2021-08-04,16.678966404478377
2021-08-03,16.558296429435092
2021-08-02,16.034648822501218
2021-07-30,16.018380925367918
2021-07-29,15.869520710778115
2021-07-28,15.891099057033259
2021-07-27,16.034867868781728
2021-07-26,16.688313890874507
2021-07-23,16.091734564484955
2021-07-22,16.56884974842235
2021-07-21,16.22712964554152
2021-07-20,16.400136791225858
2021-07-19,16.440358031861372
2021-07-16,17.191748063506882
2021-07-15,17.09259009206555
2021-07-14,16.462379865893155
2021-07-13,16.757443420824508
2021-07-12,16.646121174374148
2021-07-09,16.70875815352423
2021-07-08,17.00471180479686
2021-07-07,17.036055749419106
2021-07-06,16.26806397679353
2021-07-02,16.180504441834962
2021-07-01,16.497530726814727
2021-06-30,16.47877268099558
2021-06-29,17.082405945663968
2021-06-28,18.60877024948589
2021-06-25,16.64083006174504
2021-06-24,16.54963259082838
2021-06-23,17.030239922842593
2021-06-22,17.21673825662718
2021-06-21,17.288448656030862
2021-06-18,17.10832117604793
2021-06-17,17.232131500584824
2021-06-16,17.052075626384617
2021-06-15,16.94510106171394
2021-06-14,17.46475924253543
2021-06-11,16.68180969204013
2021-06-10,16.882829737380202
2021-06-09,16.897770045274594
2021-06-08,17.13873846402676
2021-06-07,17.22874850754828
2021-06-04,17.190146772020768
2021-06-03,17.441426501947138
2021-06-02,16.72093068570725
2021-06-01,17.431412013646387
2021-05-28,16.425188639382032
2021-05-27,16.783881819898706
2021-05-26,16.483584837876958
2021-05-25,17.208442202615153
2021-05-24,17.251551964035126
2021-05-21,16.627317177784402
2021-05-20,17.01210084877189
2021-05-19,16.719235498424414
2021-05-18,16.582104458644583
2021-05-17,17.03058569271591
2021-05-14,16.971705110416465
2021-05-13,16.818816679126304
2021-05-12,16.238884596644553
2021-05-11,16.62952649757449
2021-05-10,17.473105284843946
